## for UVB models (QSO SED 2.0)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 3.20      7.625e-13      4.054e-13      1.068e-15      2.881e-12      2.877e-12      2.161e-14
 3.30      7.662e-13      4.081e-13      7.667e-16      2.899e-12      2.882e-12      1.603e-14
 3.40      7.752e-13      4.136e-13      5.317e-16      2.937e-12      2.910e-12      1.157e-14
 3.50      7.883e-13      4.210e-13      3.585e-16      2.990e-12      2.957e-12      8.169e-15
 3.60      8.039e-13      4.296e-13      2.369e-16      3.052e-12      3.016e-12      5.668e-15
 3.70      8.205e-13      4.386e-13      1.544e-16      3.117e-12      3.079e-12      3.888e-15
 3.80      8.360e-13      4.470e-13      1.004e-16      3.178e-12      3.142e-12      2.658e-15
 3.90      8.491e-13      4.540e-13      6.542e-17      3.229e-12      3.196e-12      1.820e-15
 4.00      8.580e-13      4.588e-13      4.305e-17      3.264e-12      3.236e-12      1.254e-15
 4.10      8.618e-13      4.610e-13      2.869e-17      3.281e-12      3.259e-12      8.727e-16
 4.20      8.599e-13      4.600e-13      1.941e-17      3.274e-12      3.261e-12      6.142e-16
 4.30      8.518e-13      4.559e-13      1.334e-17      3.245e-12      3.240e-12      4.377e-16
 4.40      8.378e-13      4.488e-13      9.321e-18      3.193e-12      3.197e-12      3.161e-16
 4.50      8.180e-13      4.387e-13      6.623e-18      3.119e-12      3.134e-12      2.313e-16
 4.60      7.926e-13      4.258e-13      4.783e-18      3.025e-12      3.052e-12      1.713e-16
 4.70      7.614e-13      4.101e-13      3.499e-18      2.909e-12      2.950e-12      1.281e-16
 4.80      7.258e-13      3.924e-13      2.472e-18      2.777e-12      2.834e-12      9.307e-17
 4.90      6.891e-13      3.740e-13      1.773e-18      2.642e-12      2.713e-12      6.848e-17
 5.00      6.523e-13      3.555e-13      1.290e-18      2.505e-12      2.590e-12      5.096e-17
 5.10      6.158e-13      3.369e-13      9.497e-19      2.369e-12      2.465e-12      3.833e-17
 5.20      5.801e-13      3.188e-13      7.075e-19      2.236e-12      2.342e-12      2.910e-17
 5.30      5.455e-13      3.011e-13      5.326e-19      2.106e-12      2.222e-12      2.230e-17
 5.40      5.123e-13      2.840e-13      4.048e-19      1.982e-12      2.105e-12      1.721e-17
 5.50      4.807e-13      2.677e-13      3.102e-19      1.863e-12      1.993e-12      1.338e-17
 5.60      4.507e-13      2.522e-13      2.395e-19      1.750e-12      1.886e-12      1.047e-17
 5.70      4.223e-13      2.375e-13      1.862e-19      1.643e-12      1.785e-12      8.236e-18
 5.80      3.957e-13      2.237e-13      1.456e-19      1.543e-12      1.691e-12      6.510e-18
 5.90      3.706e-13      2.109e-13      1.144e-19      1.449e-12      1.606e-12      5.166e-18
 6.00      3.472e-13      1.991e-13      9.026e-20      1.363e-12      1.541e-12      4.114e-18
 6.20      3.045e-13      1.761e-13      5.684e-20      1.200e-12      1.373e-12      2.633e-18
 6.40      2.673e-13      1.558e-13      3.619e-20      1.057e-12      1.223e-12      1.699e-18
 6.60      2.348e-13      1.381e-13      2.322e-20      9.315e-13      1.091e-12      1.103e-18
 6.80      2.065e-13      1.224e-13      1.498e-20      8.221e-13      9.737e-13      7.190e-19
 7.00      1.819e-13      1.087e-13      9.694e-21      7.267e-13      8.699e-13      4.698e-19
 7.20      1.604e-13      9.662e-14      6.288e-21      6.431e-13      7.779e-13      3.074e-19
 7.40      1.417e-13      8.600e-14      4.084e-21      5.699e-13      6.964e-13      2.012e-19
 7.60      1.254e-13      7.666e-14      2.655e-21      5.058e-13      6.241e-13      1.317e-19
 7.80      1.111e-13      6.843e-14      1.723e-21      4.496e-13      5.601e-13      8.616e-20
 8.00      9.866e-14      6.117e-14      1.119e-21      4.004e-13      5.031e-13      5.632e-20
 8.20      8.771e-14      5.475e-14      7.261e-22      3.570e-13      4.524e-13      3.677e-20
 8.40      7.811e-14      4.908e-14      4.707e-22      3.188e-13      4.074e-13      2.399e-20
 8.60      6.967e-14      4.405e-14      3.048e-22      2.851e-13      3.673e-13      1.563e-20
 8.80      6.224e-14      3.960e-14      1.972e-22      2.554e-13      3.315e-13      1.017e-20
 9.00      5.569e-14      3.564e-14      1.274e-22      2.291e-13      2.995e-13      6.609e-21
 9.20      4.991e-14      3.213e-14      8.226e-23      2.058e-13      2.709e-13      4.290e-21
 9.40      4.480e-14      2.900e-14      5.304e-23      1.852e-13      2.454e-13      2.780e-21
 9.60      4.027e-14      2.620e-14      3.416e-23      1.668e-13      2.225e-13      1.800e-21
 9.80      3.625e-14      2.371e-14      2.197e-23      1.505e-13      2.020e-13      1.164e-21
10.00      3.270e-14      2.150e-14      1.412e-23      1.361e-13      1.838e-13      7.512e-22
10.50      2.540e-14      1.689e-14      4.652e-24      1.062e-13      1.454e-13      2.505e-22
11.00      1.990e-14      1.338e-14      1.523e-24      8.357e-14      1.158e-13      8.298e-23
11.50      1.573e-14      1.067e-14      4.954e-25      6.629e-14      9.280e-14      2.730e-23
12.00      1.252e-14      8.570e-15      1.603e-25      5.299e-14      7.489e-14      8.929e-24
12.50      1.005e-14      6.930e-15      5.157e-26      4.265e-14      6.081e-14      2.904e-24
13.00      8.120e-15      5.639e-15      1.651e-26      3.457e-14      4.968e-14      9.392e-25
13.50      6.605e-15      4.617e-15      5.263e-27      2.820e-14      4.081e-14      3.021e-25
14.00      5.408e-15      3.802e-15      1.670e-27      2.314e-14      3.371e-14      9.649e-26
14.50      4.450e-15      3.161e-15      5.299e-28      1.913e-14      2.812e-14      3.034e-26
15.00      1.010e-15      9.401e-16      6.817e-29      5.139e-15      8.430e-15      4.607e-27
