## for UVB models (QSO SED 1.9)
## Photoionization and photoheating rates; Units: Gamma (s^-1) & H (eV s^-1)
## z,      Gamma_HI,    Gamma_HeI,   Gamma_HeII,     H_HI     H_HeI     H_HeII
## ===========================================================================================
 2.20      1.077e-12      5.833e-13      9.004e-15      4.101e-12      4.553e-12      1.634e-13
 2.30      1.035e-12      5.617e-13      8.104e-15      3.944e-12      4.365e-12      1.478e-13
 2.40      9.905e-13      5.386e-13      7.187e-15      3.776e-12      4.161e-12      1.318e-13
 2.50      9.461e-13      5.159e-13      6.280e-15      3.609e-12      3.959e-12      1.159e-13
 2.60      9.047e-13      4.944e-13      5.403e-15      3.453e-12      3.766e-12      1.004e-13
 2.70      8.676e-13      4.749e-13      4.571e-15      3.314e-12      3.587e-12      8.562e-14
 2.80      8.356e-13      4.582e-13      3.800e-15      3.194e-12      3.430e-12      7.185e-14
 2.90      8.102e-13      4.447e-13      3.096e-15      3.098e-12      3.297e-12      5.922e-14
 3.00      7.918e-13      4.348e-13      2.466e-15      3.028e-12      3.193e-12      4.784e-14
 3.10      7.806e-13      4.285e-13      1.914e-15      2.986e-12      3.117e-12      3.781e-14
 3.20      7.762e-13      4.258e-13      1.442e-15      2.969e-12      3.071e-12      2.916e-14
 3.30      7.783e-13      4.264e-13      1.052e-15      2.977e-12      3.053e-12      2.192e-14
 3.40      7.858e-13      4.296e-13      7.417e-16      3.005e-12      3.059e-12      1.603e-14
 3.50      7.976e-13      4.350e-13      5.070e-16      3.050e-12      3.085e-12      1.144e-14
 3.60      8.120e-13      4.419e-13      3.383e-16      3.104e-12      3.126e-12      8.007e-15
 3.70      8.275e-13      4.492e-13      2.218e-16      3.162e-12      3.174e-12      5.524e-15
 3.80      8.421e-13      4.562e-13      1.446e-16      3.217e-12      3.223e-12      3.787e-15
 3.90      8.543e-13      4.619e-13      9.414e-17      3.262e-12      3.266e-12      2.592e-15
 4.00      8.624e-13      4.657e-13      6.176e-17      3.293e-12      3.297e-12      1.783e-15
 4.10      8.656e-13      4.668e-13      4.095e-17      3.305e-12      3.311e-12      1.236e-15
 4.20      8.631e-13      4.650e-13      2.752e-17      3.295e-12      3.305e-12      8.651e-16
 4.30      8.546e-13      4.602e-13      1.877e-17      3.263e-12      3.277e-12      6.126e-16
 4.40      8.402e-13      4.524e-13      1.301e-17      3.208e-12      3.229e-12      4.392e-16
 4.50      8.200e-13      4.417e-13      9.165e-18      3.132e-12      3.161e-12      3.188e-16
 4.60      7.943e-13      4.284e-13      6.559e-18      3.036e-12      3.074e-12      2.343e-16
 4.70      7.628e-13      4.123e-13      4.753e-18      2.918e-12      2.969e-12      1.736e-16
 4.80      7.269e-13      3.942e-13      3.322e-18      2.785e-12      2.851e-12      1.248e-16
 4.90      6.901e-13      3.756e-13      2.356e-18      2.648e-12      2.727e-12      9.090e-17
 5.00      6.531e-13      3.568e-13      1.696e-18      2.510e-12      2.601e-12      6.694e-17
 5.10      6.165e-13      3.380e-13      1.236e-18      2.373e-12      2.474e-12      4.983e-17
 5.20      5.807e-13      3.197e-13      9.114e-19      2.239e-12      2.350e-12      3.746e-17
 5.30      5.460e-13      3.018e-13      6.797e-19      2.109e-12      2.228e-12      2.842e-17
 5.40      5.127e-13      2.846e-13      5.119e-19      1.984e-12      2.110e-12      2.175e-17
 5.50      4.810e-13      2.682e-13      3.891e-19      1.865e-12      1.997e-12      1.677e-17
 5.60      4.510e-13      2.526e-13      2.982e-19      1.752e-12      1.889e-12      1.302e-17
 5.70      4.226e-13      2.378e-13      2.302e-19      1.645e-12      1.788e-12      1.017e-17
 5.80      3.958e-13      2.240e-13      1.789e-19      1.544e-12      1.693e-12      7.986e-18
 5.90      3.708e-13      2.111e-13      1.398e-19      1.450e-12      1.608e-12      6.301e-18
 6.00      3.473e-13      1.992e-13      1.097e-19      1.364e-12      1.542e-12      4.993e-18
 6.20      3.046e-13      1.762e-13      6.857e-20      1.200e-12      1.374e-12      3.167e-18
 6.40      2.673e-13      1.559e-13      4.340e-20      1.057e-12      1.224e-12      2.031e-18
 6.60      2.348e-13      1.381e-13      2.772e-20      9.317e-13      1.092e-12      1.312e-18
 6.80      2.065e-13      1.225e-13      1.782e-20      8.223e-13      9.740e-13      8.515e-19
 7.00      1.819e-13      1.087e-13      1.151e-20      7.268e-13      8.701e-13      5.545e-19
 7.20      1.605e-13      9.664e-14      7.452e-21      6.431e-13      7.781e-13      3.619e-19
 7.40      1.417e-13      8.602e-14      4.834e-21      5.699e-13      6.965e-13      2.364e-19
 7.60      1.254e-13      7.667e-14      3.140e-21      5.058e-13      6.242e-13      1.545e-19
 7.80      1.111e-13      6.844e-14      2.037e-21      4.497e-13      5.601e-13      1.009e-19
 8.00      9.866e-14      6.117e-14      1.322e-21      4.004e-13      5.031e-13      6.586e-20
 8.20      8.772e-14      5.475e-14      8.574e-22      3.570e-13      4.525e-13      4.295e-20
 8.40      7.811e-14      4.908e-14      5.557e-22      3.188e-13      4.074e-13      2.799e-20
 8.60      6.967e-14      4.406e-14      3.599e-22      2.851e-13      3.673e-13      1.822e-20
 8.80      6.224e-14      3.960e-14      2.328e-22      2.554e-13      3.315e-13      1.184e-20
 9.00      5.569e-14      3.564e-14      1.504e-22      2.291e-13      2.995e-13      7.689e-21
 9.20      4.991e-14      3.213e-14      9.708e-23      2.058e-13      2.709e-13      4.986e-21
 9.40      4.480e-14      2.900e-14      6.259e-23      1.852e-13      2.454e-13      3.229e-21
 9.60      4.027e-14      2.620e-14      4.031e-23      1.668e-13      2.225e-13      2.089e-21
 9.80      3.625e-14      2.371e-14      2.593e-23      1.505e-13      2.020e-13      1.350e-21
10.00      3.270e-14      2.150e-14      1.666e-23      1.361e-13      1.838e-13      8.705e-22
10.50      2.540e-14      1.689e-14      5.489e-24      1.062e-13      1.454e-13      2.898e-22
11.00      1.990e-14      1.338e-14      1.797e-24      8.357e-14      1.158e-13      9.581e-23
11.50      1.573e-14      1.067e-14      5.845e-25      6.630e-14      9.280e-14      3.147e-23
12.00      1.252e-14      8.570e-15      1.891e-25      5.299e-14      7.489e-14      1.028e-23
12.50      1.005e-14      6.930e-15      6.085e-26      4.265e-14      6.081e-14      3.336e-24
13.00      8.120e-15      5.639e-15      1.948e-26      3.457e-14      4.968e-14      1.077e-24
13.50      6.605e-15      4.617e-15      6.209e-27      2.820e-14      4.081e-14      3.461e-25
14.00      5.408e-15      3.802e-15      1.970e-27      2.314e-14      3.371e-14      1.104e-25
14.50      4.450e-15      3.161e-15      6.252e-28      1.913e-14      2.812e-14      3.475e-26
15.00      1.010e-15      9.401e-16      8.045e-29      5.139e-15      8.430e-15      5.313e-27
